"","sp","lon","lat"
"531","Aplastodiscus_perviridis",-49.021667,-27.6725
"532","Aplastodiscus_perviridis",-48.7656,-24.2208
"533","Aplastodiscus_perviridis",-48.759722,-24.22
"535","Aplastodiscus_perviridis",-48.36,-24.090278
"536","Aplastodiscus_perviridis",-49.478611,-26.312222
"537","Aplastodiscus_perviridis",-49.7975,-26.1058
"538","Aplastodiscus_perviridis",-45.6625,-22.8272
"539","Aplastodiscus_perviridis",-45.66,-22.82
"540","Aplastodiscus_perviridis",-49.311944,-26.312222
"541","Aplastodiscus_perviridis",-49.378333,-26.250556
"544","Aplastodiscus_perviridis",-52.5317,-26.5581
"546","Aplastodiscus_perviridis",-50.5836,-29.4481
"547","Aplastodiscus_perviridis",-49.931667,-28.293889
"548","Aplastodiscus_perviridis",-44.566667,-22.633333
"549","Aplastodiscus_perviridis",-44.586579,-22.743167
"550","Aplastodiscus_perviridis",-44.569722,-22.64
"552","Aplastodiscus_perviridis",-49.2064,-25.5347
"553","Aplastodiscus_perviridis",-48.65883114,-16.63858255
"554","Aplastodiscus_perviridis",-47.45,-23.5
"555","Aplastodiscus_perviridis",-45.625,-23.0264
"556","Aplastodiscus_perviridis",-50.6156,-24.3239
"557","Aplastodiscus_perviridis",-49.1989,-25.9281
"558","Aplastodiscus_perviridis",-49.478611,-28.119722
"559","Aplastodiscus_perviridis",-49.591667,-28.015
"561","Aplastodiscus_perviridis",-49.580833,-27.976667
"562","Aplastodiscus_perviridis",-51.74,-27.0067
"623","Bokermannohyla_caramaschii",-42.486111,-20.715278
"624","Bokermannohyla_caramaschii",-42.409444,-20.606111
"625","Bokermannohyla_caramaschii",-40.600278,-19.936389
"626","Bokermannohyla_caramaschii",-41.112778,-20.848889
"627","Bokermannohyla_caramaschii",-40.6,-19.933333
"628","Bokermannohyla_caramaschii",-41.1847,-20.6036
"629","Bokermannohyla_caramaschii",-40.635372,-19.87743
"630","Bokermannohyla_caramaschii",-40.659167,-20.363333
"633","Bokermannohyla_caramaschii",-42.52887,-20.88808
"634","Bokermannohyla_caramaschii",-42.434444,-20.725833
"635","Bokermannohyla_caramaschii",-42.478611,-20.721944
"637","Bokermannohyla_caramaschii",-40.40776,-19.93704
"638","Bokermannohyla_caramaschii",-41.730278,-20.497222
"639","Bokermannohyla_caramaschii",-40.773555,-20.430738
